START | Pos: [15.35879, 0.7, 5.39613] | Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
