START | Pos: [15.35879, 0.7, 5.39613] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.1423, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.9258, 0.7000, 5.1461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.4928, 0.7000, 4.8961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [14.4928, 0.7000, 4.8961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.3678, 0.7000, 4.6796], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.2428, 0.7000, 4.4631], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [14.2428, 0.7000, 4.4631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.0263, 0.7000, 4.3381], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.8097, 0.7000, 4.2131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.5932, 0.7000, 4.0881], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.3767, 0.7000, 3.9631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.1602, 0.7000, 3.8381], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.9437, 0.7000, 3.7131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.7272, 0.7000, 3.5881], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.5107, 0.7000, 3.4631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.2942, 0.7000, 3.3381], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.0777, 0.7000, 3.2131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.8612, 0.7000, 3.0881], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.6447, 0.7000, 2.9631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [11.6447, 0.7000, 2.9631], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [11.5197, 0.7000, 2.7466], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [11.3947, 0.7000, 2.5301], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [11.2697, 0.7000, 2.3136], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
stop, Pos: [11.2697, 0.7000, 2.3136], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
