START | Pos: [-5.99568, 0.19754, 1.17799] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.7792, 0.1975, 1.0530], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.5627, 0.1975, 0.9280], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.3462, 0.1975, 0.8030], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.1297, 0.1975, 0.6780], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.1297, 0.1975, 0.6780], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.0047, 0.1975, 0.4615], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.8797, 0.1975, 0.2450], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.7547, 0.1975, 0.0285], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.9712, 0.1975, -0.0965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.1877, 0.1975, -0.2215], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.4042, 0.1975, -0.3465], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.6207, 0.1975, -0.4715], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.8372, 0.1975, -0.5965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.0537, 0.1975, -0.7215], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.2702, 0.1975, -0.8465], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.4867, 0.1975, -0.9715], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.7032, 0.1975, -1.0965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.9197, 0.1975, -1.2215], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.1362, 0.1975, -1.3465], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.3527, 0.1975, -1.4715], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.5692, 0.1975, -1.5965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.7857, 0.1975, -1.7215], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-8.0023, 0.1975, -1.8465], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-8.2188, 0.1975, -1.9715], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-8.4353, 0.1975, -2.0965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-8.6518, 0.1975, -2.2215], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-8.8683, 0.1975, -2.3465], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-9.0848, 0.1975, -2.4715], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-9.3013, 0.1975, -2.5965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-9.3013, 0.1975, -2.5965], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-9.3013, 0.1975, -2.5965], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-9.3013, 0.1975, -2.8465], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-9.3013, 0.1975, -3.0965], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-9.3013, 0.1975, -3.3465], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-9.3013, 0.1975, -3.5965], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
