START | Pos: [-5.99568, 0.19754, 1.17799] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.7457, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.4957, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.2457, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.9957, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.7457, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.4957, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.2457, 0.1975, 1.1780], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.2457, 0.1975, 1.1780], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-4.2457, 0.1975, 1.1780], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-4.2457, 0.1975, 1.1780], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-4.2457, 0.1975, 1.1780], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.3707, 0.1975, 0.9615], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4957, 0.1975, 0.7450], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-4.4957, 0.1975, 0.7450], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-4.4957, 0.1975, 0.4950], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-4.4957, 0.1975, 0.4950], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.3707, 0.1975, 0.2785], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-4.3707, 0.1975, 0.2785], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-4.3707, 0.1975, 0.0285], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-4.3707, 0.1975, -0.2215], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-4.3707, 0.1975, -0.4715], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-4.3707, 0.1975, -0.7215], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-4.3707, 0.1975, -0.7215], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4957, 0.1975, -0.9380], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.6207, 0.1975, -1.1545], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.7457, 0.1975, -1.3710], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.8707, 0.1975, -1.5876], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.9957, 0.1975, -1.8041], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.1207, 0.1975, -2.0206], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.2457, 0.1975, -2.2371], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.3707, 0.1975, -2.4536], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.4957, 0.1975, -2.6701], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.6207, 0.1975, -2.8866], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-5.7457, 0.1975, -3.1031], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.7457, 0.1975, -3.1031], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
stop, Pos: [-5.7457, 0.1975, -3.1031], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
