START | Pos: [-5.99568, 0.19754, 1.17799] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-5.8707, 0.1975, 0.9615], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-5.8707, 0.1975, 0.9615], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, 0.7115], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, 0.4615], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, 0.2115], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -0.0385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -0.2885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -0.5385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -0.7885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -1.0385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -1.2885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -1.5385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -1.7885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -2.0385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -2.2885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -2.5385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -2.7885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -3.0385], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-5.8707, 0.1975, -3.2885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
stop, Pos: [-5.8707, 0.1975, -3.2885], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
