START | Pos: [-5.99568, 0.19754, 1.17799] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.9957, 0.1975, 1.1780], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9957, 0.1975, 0.9280], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9957, 0.1975, 0.6780], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9957, 0.1975, 0.4280], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-5.9957, 0.1975, 0.4280], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.8707, 0.1975, 0.2115], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.7457, 0.1975, -0.0050], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.6207, 0.1975, -0.2215], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.4957, 0.1975, -0.4380], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.3707, 0.1975, -0.6545], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-5.2457, 0.1975, -0.8710], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.0292, 0.1975, -0.7460], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.8127, 0.1975, -0.6210], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.5962, 0.1975, -0.4960], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.3797, 0.1975, -0.3710], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
stop, Pos: [-4.3797, 0.1975, -0.3710], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
