START | Pos: [-5.9008, 0.16, -2.3891] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.6508, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.4008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.1508, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.9008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.6508, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.4008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.1508, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.9008, 0.1600, -2.3891], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.7758, 0.1600, -2.6056], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.6508, 0.1600, -2.8221], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.5258, 0.1600, -3.0386], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.4008, 0.1600, -3.2551], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-3.2758, 0.1600, -3.4716], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
