START | Pos: [-5.9008, 0.16, -2.3891] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-5.9008, 0.1600, -2.3891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.7758, 0.1600, -2.6056], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.7758, 0.1600, -2.6056], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-5.7758, 0.1600, -2.6056], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.9008, 0.1600, -2.8221], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-6.0258, 0.1600, -3.0386], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-6.0258, 0.1600, -3.0386], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-6.0258, 0.1600, -3.2886], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-6.0258, 0.1600, -3.5386], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-6.0258, 0.1600, -3.7886], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.8093, 0.1600, -3.9136], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.5928, 0.1600, -4.0386], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [-5.5928, 0.1600, -4.0386], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
