START | Pos: [-5.9008, 0.16, -2.3891] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9008, 0.1600, -2.6391], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9008, 0.1600, -2.8891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9008, 0.1600, -3.1391], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.9008, 0.1600, -3.3891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-5.9008, 0.1600, -3.3891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.7758, 0.1600, -3.6056], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.7758, 0.1600, -3.6056], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.5593, 0.1600, -3.7306], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.3428, 0.1600, -3.8556], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.1263, 0.1600, -3.9806], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.9098, 0.1600, -4.1056], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.6933, 0.1600, -4.2306], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.4768, 0.1600, -4.1056], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.2603, 0.1600, -3.9806], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.0438, 0.1600, -3.8556], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.8272, 0.1600, -3.7306], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.6107, 0.1600, -3.6056], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.3942, 0.1600, -3.4806], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.1777, 0.1600, -3.3556], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.9612, 0.1600, -3.2306], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-2.9612, 0.1600, -3.2306], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-2.9612, 0.1600, -3.2306], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9612, 0.1600, -2.9806], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9612, 0.1600, -2.7306], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9612, 0.1600, -2.4806], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.9612, 0.1600, -2.4806], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.8362, 0.1600, -2.2641], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.7112, 0.1600, -2.0476], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.5862, 0.1600, -1.8311], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.4612, 0.1600, -1.6146], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [-2.4612, 0.1600, -1.6146], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
