START | Pos: [0.7158, 0.14281, -3.21363] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [0.9323, 0.1428, -3.0886], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [0.9323, 0.1428, -3.0886], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [1.0573, 0.1428, -2.8721], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
