START | Pos: [-15.0493, 0.19683, -8.40716] | Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-15.0493, 0.1968, -8.6572], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-15.1743, 0.1968, -8.6907], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-15.0493, 0.1968, -8.9072], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.9243, 0.1968, -9.1237], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.7993, 0.1968, -9.3402], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.6743, 0.1968, -9.5567], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.5493, 0.1968, -9.7732], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-14.4243, 0.1968, -9.9897], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.5493, 0.1968, -9.7732], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6743, 0.1968, -9.5567], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.6743, 0.1968, -9.5567], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6743, 0.1968, -9.3067], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6743, 0.1968, -9.0567], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-14.6743, 0.1968, -9.0567], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.6743, 0.1968, -9.0567], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-14.6743, 0.1968, -9.0567], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-14.6743, 0.1968, -9.0567], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.8908, 0.1968, -9.1817], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-14.8908, 0.1968, -9.1817], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-14.8908, 0.1968, -9.1817], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-14.8908, 0.1968, -9.4317], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-15.0158, 0.1968, -9.4652], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.8908, 0.1968, -9.6817], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.7658, 0.1968, -9.8982], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.9823, 0.1968, -9.7732], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-14.7323, 0.1968, -9.7732], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.9488, 0.1968, -9.8982], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
