START | Pos: [4.30698, 0.19388, -4.34907] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.8491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.5991], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.5570, 0.1939, -3.3491], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [4.5570, 0.1939, -3.3491], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [4.5570, 0.1939, -3.3491], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [4.5570, 0.1939, -3.3491], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [4.5570, 0.1939, -3.5991], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [4.5570, 0.1939, -3.5991], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [4.5570, 0.1939, -3.5991], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [4.5570, 0.1939, -3.5991], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [4.5570, 0.1939, -3.5991], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.3405, 0.1939, -3.4741], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.1240, 0.1939, -3.3491], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.9075, 0.1939, -3.2241], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [3.9075, 0.1939, -3.2241], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.6575, 0.1939, -3.2241], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.4075, 0.1939, -3.2241], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.1575, 0.1939, -3.2241], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.9075, 0.1939, -3.2241], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [2.9075, 0.1939, -3.2241], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [2.9075, 0.1939, -3.2241], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [2.9075, 0.1939, -3.2241], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [2.9075, 0.1939, -3.2241], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.0325, 0.1939, -3.4406], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.1575, 0.1939, -3.6571], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.2825, 0.1939, -3.8736], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.4075, 0.1939, -4.0901], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.5325, 0.1939, -4.3066], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.6575, 0.1939, -4.5231], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.7825, 0.1939, -4.7396], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.9075, 0.1939, -4.9561], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [3.9075, 0.1939, -4.9561], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [3.9075, 0.1939, -5.2061], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [3.9075, 0.1939, -5.4561], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.7825, 0.1939, -5.2396], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.6575, 0.1939, -5.0231], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.5325, 0.1939, -4.8066], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.4075, 0.1939, -4.5901], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.2825, 0.1939, -4.3736], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.1575, 0.1939, -4.1571], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [3.0325, 0.1939, -3.9406], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.2825, 0.1939, -3.9406], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [3.2825, 0.1939, -3.9406], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
