START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.7679, 0.1900, -11.1668], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-11.5514, 0.1900, -11.0418], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-11.8014, 0.1900, -11.0418], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-12.0179, 0.1900, -11.1668], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-12.0179, 0.1900, -11.1668], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-12.0179, 0.1900, -11.1668], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-12.0179, 0.1900, -11.1668], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
