START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-11.6429, 0.1900, -11.3833], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-11.6429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-11.3929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-11.1429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-10.8929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-10.6429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-10.3929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-10.1429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.8929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.6429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.3929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.1429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.8929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.6429, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.3929, 0.1900, -11.3833], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-8.3929, 0.1900, -11.3833], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-8.3929, 0.1900, -11.3833], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-8.3929, 0.1900, -11.3833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -11.6333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -11.8833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -12.1333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -12.3833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -12.6333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -12.8833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -13.1333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -13.3833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -13.6333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -13.8833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -14.1333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -14.3833], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-8.3929, 0.1900, -14.6333], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.5179, 0.1900, -14.4168], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.6429, 0.1900, -14.2003], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.7679, 0.1900, -13.9838], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-8.7679, 0.1900, -13.9838], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-8.7679, 0.1900, -13.9838], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.0179, 0.1900, -13.9838], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2679, 0.1900, -13.9838], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-9.2679, 0.1900, -13.9838], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-9.2679, 0.1900, -13.9838], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-9.3929, 0.1900, -13.7673], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-9.5179, 0.1900, -13.5508], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2679, 0.1900, -13.5508], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.0179, 0.1900, -13.5508], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.7679, 0.1900, -13.5508], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
