START | Pos: [17.96851, 0.19441, -4.78807] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.2185, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.4685, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.7185, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.9685, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [18.9685, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.1850, 0.1944, -4.6631], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.4015, 0.1944, -4.5381], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.6180, 0.1944, -4.4131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.8345, 0.1944, -4.2881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.0510, 0.1944, -4.1631], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.2676, 0.1944, -4.0381], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.4841, 0.1944, -3.9131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.7006, 0.1944, -3.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.9171, 0.1944, -3.6631], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [21.1336, 0.1944, -3.5381], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [21.3501, 0.1944, -3.4131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [21.3501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.6001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.8501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.1001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.3501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.6001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.8501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.1001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.3501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.6001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.8501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.1001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.3501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.6001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.8501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.1001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.3501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.6001, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.8501, 0.1944, -3.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [25.8501, 0.1944, -3.4131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [26.0666, 0.1944, -3.2881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [26.2831, 0.1944, -3.1631], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [26.4996, 0.1944, -3.0381], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [26.7161, 0.1944, -2.9131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [26.7161, 0.1944, -2.9131], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [26.8411, 0.1944, -2.6966], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [26.9661, 0.1944, -2.4800], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [27.0911, 0.1944, -2.2635], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
stop, Pos: [27.0911, 0.1944, -2.2635], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
