START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.1650, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [16.1650, 0.1981, -11.4348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.9150, 0.1981, -11.4348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.9150, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.4820, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.2655, 0.1981, -11.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.0489, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.8324, 0.1981, -12.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.6159, 0.1981, -12.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.3994, 0.1981, -12.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.1829, 0.1981, -12.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.9664, 0.1981, -12.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.7499, 0.1981, -12.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.5334, 0.1981, -12.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.3169, 0.1981, -12.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.1004, 0.1981, -13.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.8839, 0.1981, -13.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.6674, 0.1981, -13.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [12.6674, 0.1981, -13.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.1674, 0.1981, -13.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [12.1674, 0.1981, -13.3098], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [12.1674, 0.1981, -13.3098], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [12.0424, 0.1981, -13.0933], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [12.0424, 0.1981, -13.0933], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [11.8259, 0.1981, -12.9683], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [11.6094, 0.1981, -12.8433], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [11.3929, 0.1981, -12.7183], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [11.1764, 0.1981, -12.5933], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [10.9599, 0.1981, -12.4683], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [10.9599, 0.1981, -12.4683], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.7099, 0.1981, -12.4683], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.4599, 0.1981, -12.4683], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.2099, 0.1981, -12.4683], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [10.2099, 0.1981, -12.4683], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
