START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.9150, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.1985, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.1985, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.9820, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.7655, 0.1981, -11.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.5489, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.3324, 0.1981, -12.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.1159, 0.1981, -12.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.8994, 0.1981, -12.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.6829, 0.1981, -12.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.4664, 0.1981, -12.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.2499, 0.1981, -12.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.0334, 0.1981, -12.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.8169, 0.1981, -12.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.6004, 0.1981, -13.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.3839, 0.1981, -13.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.1674, 0.1981, -13.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [11.9509, 0.1981, -13.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [11.9509, 0.1981, -13.4348], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.8259, 0.1981, -13.6513], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.7009, 0.1981, -13.8678], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.5759, 0.1981, -14.0843], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.4509, 0.1981, -14.3008], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.3259, 0.1981, -14.5173], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.2009, 0.1981, -14.7338], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.0759, 0.1981, -14.9503], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.9509, 0.1981, -15.1668], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
