START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.4150, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.1985, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.9820, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.9820, 0.1981, -11.6848], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.7320, 0.1981, -11.6848], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.4820, 0.1981, -11.6848], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.4820, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.2655, 0.1981, -11.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.0489, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.0489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.5489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.2989, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.0489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [14.0489, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
stop, Pos: [14.0489, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
