START | Pos: [-37.35852, 0.08759, -4.3129] | Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-37.3585, 0.0876, -4.3129], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-37.3585, 0.0876, -4.0629], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-37.3585, 0.0876, -3.8129], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-37.3585, 0.0876, -3.5629], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-37.3585, 0.0876, -3.3129], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-37.3585, 0.0876, -3.0629], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-37.2335, 0.0876, -2.8464], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-37.2335, 0.0876, -2.8464], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-37.0170, 0.0876, -2.7214], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-36.8005, 0.0876, -2.5964], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-36.5840, 0.0876, -2.4714], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
stop, Pos: [-36.5840, 0.0876, -2.4714], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
