START | Pos: [3.18055, 0.18678, -3.51576] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.0555, 0.1868, -3.2993], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.9305, 0.1868, -3.0827], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.8055, 0.1868, -2.8662], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.6805, 0.1868, -2.6497], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [2.6805, 0.1868, -2.6497], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.4640, 0.1868, -2.5247], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.2475, 0.1868, -2.3997], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.0310, 0.1868, -2.2747], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.8145, 0.1868, -2.1497], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.5980, 0.1868, -2.0247], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.3815, 0.1868, -1.8997], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.1650, 0.1868, -1.7747], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
stop, Pos: [1.1650, 0.1868, -1.7747], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
