START | Pos: [3.18055, 0.18678, -3.51576] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.9640, 0.1868, -3.3908], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.7475, 0.1868, -3.2658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.5310, 0.1868, -3.1408], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.3145, 0.1868, -3.0158], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.0980, 0.1868, -2.8908], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.8815, 0.1868, -2.7658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.6650, 0.1868, -2.6408], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [1.6650, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.4150, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.1650, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.9150, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [0.9150, 0.1868, -2.6408], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.6985, 0.1868, -2.7658], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [0.6985, 0.1868, -2.7658], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.4485, 0.1868, -2.7658], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [0.4485, 0.1868, -2.7658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.2320, 0.1868, -2.6408], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [0.2320, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.0180, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [-0.0180, 0.1868, -2.6408], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
