START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.4314, 0.2132, -3.4633], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.6479, 0.2132, -3.5883], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.8644, 0.2132, -3.7133], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.0809, 0.2132, -3.8383], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.2974, 0.2132, -3.9633], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.5139, 0.2132, -4.0883], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.7304, 0.2132, -4.2133], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-5.9469, 0.2132, -4.3383], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-5.9469, 0.2132, -4.0883], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-5.9469, 0.2132, -3.8383], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-5.9469, 0.2132, -3.8383], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.8219, 0.2132, -3.6218], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.6969, 0.2132, -3.4053], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.5719, 0.2132, -3.1888], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
