START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-4.2149, 0.2132, -3.0883], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-4.2149, 0.2132, -2.8383], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-4.2149, 0.2132, -2.5883], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-4.2149, 0.2132, -2.3383], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-4.2149, 0.2132, -2.3383], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-4.2149, 0.2132, -2.3383], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-4.2149, 0.2132, -2.3383], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-4.4649, 0.2132, -2.3383], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.2484, 0.2132, -2.2133], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.0318, 0.2132, -2.0883], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.8153, 0.2132, -1.9633], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.5988, 0.2132, -1.8383], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-3.3823, 0.2132, -1.7133], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.6323, 0.2132, -1.7133], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-3.6323, 0.2132, -1.7133], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.8488, 0.2132, -1.8383], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-4.0653, 0.2132, -1.9633], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.0653, 0.2132, -1.9633], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.0653, 0.2132, -1.9633], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.2818, 0.2132, -1.8383], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-4.4984, 0.2132, -1.7133], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.3734, 0.2132, -1.9298], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.2484, 0.2132, -2.1463], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.1234, 0.2132, -2.3628], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-3.9984, 0.2132, -2.5793], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.2149, 0.2132, -2.4543], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.4314, 0.2132, -2.3293], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.6479, 0.2132, -2.2043], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.8644, 0.2132, -2.0793], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-4.8644, 0.2132, -2.0793], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.9894, 0.2132, -1.8628], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.1144, 0.2132, -1.6463], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.2394, 0.2132, -1.4298], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.3644, 0.2132, -1.2133], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.3644, 0.2132, -1.4633], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.3644, 0.2132, -1.7133], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.3644, 0.2132, -1.9633], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.3644, 0.2132, -2.2133], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
