START | Pos: [2.97176, 0.19355, 5.18616] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [2.8468, 0.1936, 4.9697], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [2.8468, 0.1936, 4.9697], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [2.8468, 0.1936, 4.9697], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [2.8468, 0.1936, 4.9697], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [2.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.0968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.3468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.5968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.0968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.3468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.5968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.0968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.3468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.0968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.3468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.5968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.0968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.3468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.5968, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [7.8468, 0.1936, 4.9697], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [7.6303, 0.1936, 4.8447], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [7.6303, 0.1936, 4.8447], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.3803, 0.1936, 4.8447], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.1303, 0.1936, 4.8447], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.8803, 0.1936, 4.8447], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [6.8803, 0.1936, 4.8447], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.6637, 0.1936, 4.9697], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.6637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.4137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.1637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.9137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.6637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.4137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.1637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.9137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.6637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.4137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.1637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.9137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.6637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.4137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.1637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.9137, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.6637, 0.1936, 4.9697], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
