START | Pos: [2.97176, 0.19355, 5.18616] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.7218, 0.1936, 5.1862], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [2.7218, 0.1936, 5.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.5053, 0.1936, 5.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.2887, 0.1936, 4.9362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.0722, 0.1936, 4.8112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.8557, 0.1936, 4.6862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.6392, 0.1936, 4.5612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.4227, 0.1936, 4.4362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.2062, 0.1936, 4.3112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.9897, 0.1936, 4.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.7732, 0.1936, 4.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.5567, 0.1936, 3.9362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.3402, 0.1936, 3.8112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.1237, 0.1936, 3.6862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.0928, 0.1936, 3.5612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.3093, 0.1936, 3.4362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.5258, 0.1936, 3.3112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.7423, 0.1936, 3.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.9588, 0.1936, 3.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.1754, 0.1936, 2.9362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.3919, 0.1936, 2.8112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.6084, 0.1936, 2.6862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.8249, 0.1936, 2.5612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.0414, 0.1936, 2.4362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.2579, 0.1936, 2.3112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.4744, 0.1936, 2.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.6909, 0.1936, 2.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.9074, 0.1936, 1.9362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.1239, 0.1936, 1.8112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.3404, 0.1936, 1.6862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.5569, 0.1936, 1.5612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.7734, 0.1936, 1.4362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
