START | Pos: [2.97176, 0.19355, 5.18616] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [2.9718, 0.1936, 4.9362], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [2.9718, 0.1936, 4.6862], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [2.9718, 0.1936, 4.4362], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [2.9718, 0.1936, 4.1862], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.0968, 0.1936, 4.4027], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.2218, 0.1936, 4.6192], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.3468, 0.1936, 4.8357], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [3.3468, 0.1936, 4.8357], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
