START | Pos: [-14.46642, 0.18403, -6.48453] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -6.2345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.9845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.7345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.4845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.2345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.9845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.7345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.4845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.2345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.9845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.7345], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-14.2164, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-13.7164, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-13.4664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-13.4664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-13.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-13.4664, 0.1840, -3.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-13.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-13.5914, 0.1840, -3.2680], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-13.7164, 0.1840, -3.0515], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-13.8414, 0.1840, -2.8350], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-13.9664, 0.1840, -2.6185], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.0914, 0.1840, -2.4020], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.2164, 0.1840, -2.6185], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.3414, 0.1840, -2.8350], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.4664, 0.1840, -3.0515], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.5914, 0.1840, -3.2680], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.7164, 0.1840, -3.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.8414, 0.1840, -3.7010], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.9664, 0.1840, -3.9175], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.0914, 0.1840, -4.1340], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.2164, 0.1840, -4.3506], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.3414, 0.1840, -4.5671], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.4664, 0.1840, -4.7836], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.5914, 0.1840, -5.0001], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-15.5914, 0.1840, -5.0001], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-15.5914, 0.1840, -5.0001], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-15.5914, 0.1840, -5.0001], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-15.5914, 0.1840, -5.0001], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.7164, 0.1840, -4.7836], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.8414, 0.1840, -4.5671], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.9664, 0.1840, -4.3506], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.0914, 0.1840, -4.1340], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.2164, 0.1840, -3.9175], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.3414, 0.1840, -3.7010], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.5914, 0.1840, -3.2680], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-16.5914, 0.1840, -3.2680], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-16.5914, 0.1840, -3.0180], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-16.5914, 0.1840, -3.0180], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.7164, 0.1840, -2.8015], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-16.7164, 0.1840, -2.8015], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-16.7164, 0.1840, -2.5515], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-16.7164, 0.1840, -2.3015], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-16.7164, 0.1840, -2.3015], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-16.7164, 0.1840, -2.3015], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-16.4999, 0.1840, -2.1765], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-16.2834, 0.1840, -2.0515], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-16.0669, 0.1840, -1.9265], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-15.8504, 0.1840, -1.8015], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-15.6339, 0.1840, -1.6765], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-15.4174, 0.1840, -1.5515], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-15.2009, 0.1840, -1.4265], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-14.9844, 0.1840, -1.3015], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-14.7679, 0.1840, -1.1765], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-14.5514, 0.1840, -1.0515], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-14.3349, 0.1840, -0.9265], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.3349, 0.1840, -0.9265], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.2099, 0.1840, -0.7100], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.0849, 0.1840, -0.4935], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.9599, 0.1840, -0.2770], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.8349, 0.1840, -0.0605], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.7099, 0.1840, 0.1560], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.5849, 0.1840, 0.3725], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.4599, 0.1840, 0.5890], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.3349, 0.1840, 0.8055], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.2099, 0.1840, 1.0220], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.0849, 0.1840, 1.2385], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-13.0849, 0.1840, 1.2385], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.8683, 0.1840, 1.3635], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.6518, 0.1840, 1.4885], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.4353, 0.1840, 1.6135], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.2188, 0.1840, 1.7385], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
stop, Pos: [-12.2188, 0.1840, 1.7385], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
