START | Pos: [-14.52051, 0.12186, -7.90472] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.7370, 0.1219, -7.7797], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.9535, 0.1219, -7.6547], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.1700, 0.1219, -7.5297], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.3865, 0.1219, -7.4047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-15.3865, 0.1219, -7.4047], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.5115, 0.1219, -7.1882], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.6365, 0.1219, -6.9717], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.7615, 0.1219, -6.7552], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.8865, 0.1219, -6.5387], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.0115, 0.1219, -6.3222], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.1365, 0.1219, -6.1057], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.2615, 0.1219, -5.8892], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.3865, 0.1219, -5.6727], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.5115, 0.1219, -5.4562], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.6365, 0.1219, -5.2397], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-16.9780, 0.1219, -4.8981], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-17.1945, 0.1219, -4.7731], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-17.4111, 0.1219, -4.6481], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-17.6276, 0.1219, -4.5231], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-17.8441, 0.1219, -4.3981], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-18.0606, 0.1219, -4.2731], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-18.2771, 0.1219, -4.1481], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-18.4936, 0.1219, -4.0231], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-18.7101, 0.1219, -3.8981], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-18.9266, 0.1219, -3.7731], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
stop, Pos: [-19.1431, 0.1219, -3.6481], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
