START | Pos: [-14.52051, 0.12186, -7.90472] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.6455, 0.1219, -7.6882], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.7705, 0.1219, -7.4717], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.8955, 0.1219, -7.2552], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.0205, 0.1219, -7.0387], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.1455, 0.1219, -6.8222], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.2705, 0.1219, -6.6057], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.3955, 0.1219, -6.3892], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.5205, 0.1219, -6.1727], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-15.5205, 0.1219, -6.1727], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-15.7370, 0.1219, -6.0477], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-15.9535, 0.1219, -5.9227], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-15.9535, 0.1219, -5.9227], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.0785, 0.1219, -5.7062], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.2035, 0.1219, -5.4897], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.3285, 0.1219, -5.2731], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.4535, 0.1219, -5.0566], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
stop, Pos: [-16.4535, 0.1219, -5.0566], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
