START | Pos: [-0.23005, 0.07, 7.71749] | Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.1050, 0.0700, 7.5010], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-0.1050, 0.0700, 7.5010], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 7.2510], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 7.0010], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 6.7510], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 6.5010], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 6.2510], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-0.1050, 0.0700, 6.0010], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-0.1050, 0.0700, 6.0010], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2300, 0.0700, 5.7845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3550, 0.0700, 5.5680], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4800, 0.0700, 5.3515], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6050, 0.0700, 5.1350], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-0.6050, 0.0700, 5.1350], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.8216, 0.0700, 5.0100], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.0381, 0.0700, 4.8850], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-1.0381, 0.0700, 4.8850], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1631, 0.0700, 4.6685], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.2881, 0.0700, 4.4519], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.4131, 0.0700, 4.2354], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.5381, 0.0700, 4.0189], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.6631, 0.0700, 3.8024], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.7881, 0.0700, 3.5859], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.9131, 0.0700, 3.3694], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
