START | Pos: [-13.67385, 0.09345, 13.89784] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-13.5489, 0.0935, 14.1143], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-13.7989, 0.0935, 13.6813], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
