START | Pos: [-13.67385, 0.09345, 13.89784] | Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-13.8904, 0.0935, 13.7728], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-14.1069, 0.0935, 13.6478], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-14.3234, 0.0935, 13.5228], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-14.5399, 0.0935, 13.3978], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-14.7564, 0.0935, 13.2728], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-14.9729, 0.0935, 13.1478], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-15.1894, 0.0935, 13.0228], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-15.4059, 0.0935, 12.8978], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-15.6224, 0.0935, 12.7728], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-15.8389, 0.0935, 12.6478], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-16.0554, 0.0935, 12.5228], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-16.2719, 0.0935, 12.3978], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-16.2719, 0.0935, 12.3978], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-16.3969, 0.0935, 12.1813], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-16.5219, 0.0935, 11.9648], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-16.5219, 0.0935, 11.9648], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-16.7384, 0.0935, 11.8398], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-16.9549, 0.0935, 11.7148], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-17.1714, 0.0935, 11.5898], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-17.3880, 0.0935, 11.4648], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [-17.3880, 0.0935, 11.4648], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
