START | Pos: [-13.67385, 0.09345, 13.89784] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-13.6739, 0.0935, 13.8978], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-13.8904, 0.0935, 14.0228], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-13.8904, 0.0935, 14.0228], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-13.8904, 0.0935, 14.0228], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-14.3569, 0.0935, 13.8978], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.1069, 0.0935, 13.8978], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.2319, 0.0935, 13.6813], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.3569, 0.0935, 13.4648], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.4819, 0.0935, 13.2483], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.6069, 0.0935, 13.0318], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.6069, 0.0935, 13.0318], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.6069, 0.0935, 13.0318], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.6069, 0.0935, 13.0318], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.8234, 0.0935, 13.1568], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.0399, 0.0935, 13.2818], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.2564, 0.0935, 13.4068], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
