START | Pos: [-5.70059, 0.09346, 1.68376] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 1.4338], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 1.1838], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.9338], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.6838], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-5.7006, 0.0935, 0.6838], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.8256, 0.0935, 0.4673], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.8256, 0.0935, 0.4673], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.8256, 0.0935, 0.2173], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.8256, 0.0935, -0.0327], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.8256, 0.0935, -0.2827], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.8256, 0.0935, -0.5327], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.8256, 0.0935, -0.7827], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [-5.8256, 0.0935, -0.7827], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
