START | Pos: [-1.2893, 0.1912, -4.75057] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.5393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.0393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.5393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.7893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.0393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.5393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.7893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [-4.0393, 0.1912, -4.7506], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
