START | Pos: [1.8401, 0.16166, -1.93274] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [1.8401, 0.1617, -1.6827], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [1.8401, 0.1617, -1.4327], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [1.8401, 0.1617, -1.4327], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [1.8401, 0.1617, -1.4327], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [1.8401, 0.1617, -1.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [1.8401, 0.1617, -1.4327], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.6236, 0.1617, -1.5577], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.4071, 0.1617, -1.6827], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.1906, 0.1617, -1.8077], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.9741, 0.1617, -1.9327], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.7576, 0.1617, -2.0577], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.5411, 0.1617, -2.1827], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.3246, 0.1617, -2.3077], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.1080, 0.1617, -2.4327], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [0.1080, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.1420, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.3920, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.6420, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-0.6420, 0.1617, -2.4327], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.8585, 0.1617, -2.5577], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-0.8585, 0.1617, -2.5577], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.1085, 0.1617, -2.5577], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-1.1085, 0.1617, -2.5577], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-1.3250, 0.1617, -2.4327], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-1.3250, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.5750, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [-1.5750, 0.1617, -2.4327], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
