START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
