START | Pos: [-3.62003, 0.09346, 3.798] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.6200, 0.0935, 3.7980], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.6200, 0.0935, 3.7980], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.4950, 0.0935, 4.0145], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.3700, 0.0935, 4.2310], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.3700, 0.0935, 4.2310], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.3700, 0.0935, 4.2310], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.3700, 0.0935, 4.2310], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.1535, 0.0935, 4.1060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.9035, 0.0935, 4.1060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-2.9035, 0.0935, 4.1060], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-2.9035, 0.0935, 4.1060], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-2.9035, 0.0935, 4.1060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-2.9035, 0.0935, 3.8560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.9035, 0.0935, 3.6060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.9035, 0.0935, 3.3560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.9035, 0.0935, 3.1060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.9035, 0.0935, 2.8560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-2.9035, 0.0935, 2.8560], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-2.9035, 0.0935, 2.8560], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.9035, 0.0935, 2.8560], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.1535, 0.0935, 2.8560], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.9370, 0.0935, 2.7310], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
