START | Pos: [-9.49727, 0.19156, 2.8449] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.7138, 0.1916, 2.9699], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.9303, 0.1916, 3.0949], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.1468, 0.1916, 3.2199], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.3633, 0.1916, 3.3449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
stop, Pos: [-10.3633, 0.1916, 3.3449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
