START | Pos: [-9.49727, 0.19156, 2.8449] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-9.2808, 0.1916, 2.7199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-9.0643, 0.1916, 2.5949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-8.8478, 0.1916, 2.4699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-8.6312, 0.1916, 2.3449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-8.4147, 0.1916, 2.2199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-8.1982, 0.1916, 2.0949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.9817, 0.1916, 1.9699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.7652, 0.1916, 1.8449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.5487, 0.1916, 1.7199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.3322, 0.1916, 1.5949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.1157, 0.1916, 1.4699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-6.8992, 0.1916, 1.3449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-6.6827, 0.1916, 1.2199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-6.4662, 0.1916, 1.0949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-6.2497, 0.1916, 0.9699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-6.0332, 0.1916, 0.8449], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-6.1582, 0.1916, 1.0614], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-6.1582, 0.1916, 1.0614], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-6.3747, 0.1916, 1.1864], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-6.5912, 0.1916, 1.3114], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-6.8077, 0.1916, 1.4364], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.0242, 0.1916, 1.5614], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.2407, 0.1916, 1.6864], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.4572, 0.1916, 1.8114], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.6737, 0.1916, 1.9364], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-7.6737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.9237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.1737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.4237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.6737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.9237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.1737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.4237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.6737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.9237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.1737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.4237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.6737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.9237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.1737, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.4237, 0.1916, 1.9364], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.4237, 0.1916, 1.9364], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-11.6402, 0.1916, 2.0614], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-11.8567, 0.1916, 2.1864], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.0732, 0.1916, 2.3114], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.2897, 0.1916, 2.4364], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.5062, 0.1916, 2.5614], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.7228, 0.1916, 2.6864], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.9393, 0.1916, 2.8114], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-12.9393, 0.1916, 2.8114], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-13.0643, 0.1916, 3.0279], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-13.0643, 0.1916, 3.0279], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-13.2808, 0.1916, 3.1529], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-13.4973, 0.1916, 3.2779], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-13.7138, 0.1916, 3.4029], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-13.9303, 0.1916, 3.5279], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.1468, 0.1916, 3.6529], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.1468, 0.1916, 3.6529], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.2718, 0.1916, 3.8694], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.2718, 0.1916, 3.8694], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.4883, 0.1916, 3.9944], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4883, 0.1916, 3.9944], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.6133, 0.1916, 4.2109], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.6133, 0.1916, 4.2109], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.8298, 0.1916, 4.3359], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.8298, 0.1916, 4.3359], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.9548, 0.1916, 4.5524], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.9548, 0.1916, 4.5524], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.9548, 0.1916, 4.5524], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-14.9548, 0.1916, 4.5524], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-14.9548, 0.1916, 4.5524], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
