START | Pos: [-9.11482, 0.18403, -9.8238] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.2398, 0.1840, -9.6073], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-9.2398, 0.1840, -9.6073], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.4563, 0.1840, -9.4823], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.6728, 0.1840, -9.3573], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.8893, 0.1840, -9.2323], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.1058, 0.1840, -9.1073], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.3223, 0.1840, -8.9823], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-10.3223, 0.1840, -8.9823], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.4473, 0.1840, -8.7658], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-10.4473, 0.1840, -8.7658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.6639, 0.1840, -8.6408], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-10.6639, 0.1840, -8.6408], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.7889, 0.1840, -8.4243], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-10.7889, 0.1840, -8.4243], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.0054, 0.1840, -8.2993], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
stop, Pos: [-11.0054, 0.1840, -8.2993], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
