START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.7896, 0.0724, -2.5536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.5731, 0.0724, -2.4286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.3566, 0.0724, -2.3036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.1401, 0.0724, -2.1786], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [2.1401, 0.0724, -2.1786], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.0151, 0.0724, -1.9620], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.8901, 0.0724, -1.7455], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7651, 0.0724, -1.5290], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.6401, 0.0724, -1.3125], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.5152, 0.0724, -1.0960], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.5152, 0.0724, -1.0960], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.5152, 0.0724, -0.8460], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.5152, 0.0724, -0.5960], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.5152, 0.0724, -0.3460], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.5152, 0.0724, -0.0960], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.5152, 0.0724, 0.1540], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
