START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.8811, 0.0724, -2.4621], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.7561, 0.0724, -2.2456], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.6311, 0.0724, -2.0291], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.5061, 0.0724, -1.8125], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.3812, 0.0724, -1.5960], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [2.3812, 0.0724, -1.5960], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.1647, 0.0724, -1.4710], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [2.1647, 0.0724, -1.4710], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.0397, 0.0724, -1.2545], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.9147, 0.0724, -1.0380], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7897, 0.0724, -0.8215], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.6647, 0.0724, -0.6050], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.5397, 0.0724, -0.3885], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4147, 0.0724, -0.1720], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.2897, 0.0724, 0.0446], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.1647, 0.0724, 0.2611], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.0397, 0.0724, 0.4776], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
stop, Pos: [1.0397, 0.0724, 0.4776], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
