START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.8811, 0.0724, -2.4621], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.7561, 0.0724, -2.2456], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.6311, 0.0724, -2.0291], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.5061, 0.0724, -1.8125], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.3812, 0.0724, -1.5960], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.2562, 0.0724, -1.3795], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.1312, 0.0724, -1.1630], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.0062, 0.0724, -0.9465], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [2.0062, 0.0724, -0.9465], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.7897, 0.0724, -0.8215], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.7897, 0.0724, -0.8215], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.6647, 0.0724, -0.6050], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.6647, 0.0724, -0.6050], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4482, 0.0724, -0.4800], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.2458, 0.0724, -0.3444], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.0293, 0.0724, -0.2194], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.8128, 0.0724, -0.0943], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.5963, 0.0724, 0.0307], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.3798, 0.0724, 0.1557], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.1633, 0.0724, 0.2807], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.1633, 0.0724, 0.2807], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.0867, 0.0724, 0.2807], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.3367, 0.0724, 0.2807], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.5867, 0.0724, 0.2807], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-0.5867, 0.0724, 0.2807], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.8032, 0.0724, 0.4057], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-0.8032, 0.0724, 0.4057], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.0532, 0.0724, 0.4057], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.3032, 0.0724, 0.4058], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.5532, 0.0724, 0.4058], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.8032, 0.0724, 0.4058], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.0532, 0.0724, 0.4058], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [-2.0532, 0.0724, 0.4058], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
