START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [3.0061, 0.0724, -2.6786], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.8811, 0.0724, -2.4621], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.7561, 0.0724, -2.2456], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.6311, 0.0724, -2.0291], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.5061, 0.0724, -1.8125], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.3812, 0.0724, -1.5960], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.2562, 0.0724, -1.3795], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.1312, 0.0724, -1.1630], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [2.1312, 0.0724, -1.1630], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.9147, 0.0724, -1.0380], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.9147, 0.0724, -1.0380], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7897, 0.0724, -0.8215], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.7897, 0.0724, -0.8215], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.7897, 0.0724, -0.5715], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [1.7897, 0.0724, -0.5715], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.6647, 0.0724, -0.3550], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.6647, 0.0724, -0.3550], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [1.6647, 0.0724, -0.3550], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [1.6647, 0.0724, -0.3550], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.4482, 0.0724, -0.4800], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [1.4482, 0.0724, -0.4800], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [1.4482, 0.0724, -0.4800], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.4482, 0.0724, -0.7300], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.4482, 0.0724, -0.9800], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [1.4482, 0.0724, -0.9800], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.5732, 0.0724, -1.1965], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.6981, 0.0724, -1.4130], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.8231, 0.0724, -1.6295], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.9481, 0.0724, -1.8460], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.0731, 0.0724, -2.0625], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.1981, 0.0724, -2.2790], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.3231, 0.0724, -2.4956], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.4481, 0.0724, -2.7121], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.5731, 0.0724, -2.9286], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.6981, 0.0724, -3.1451], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.8231, 0.0724, -3.3616], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
stop, Pos: [2.8231, 0.0724, -3.3616], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
