START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [0.5240, -2.9156, 13.8628], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.6490, -2.9156, 14.0793], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.7740, -2.9156, 14.2958], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.7740, -2.9156, 14.2958], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [0.7740, -2.9156, 14.2958], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.7740, -2.9156, 14.2958], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.5575, -2.9156, 14.4208], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [0.5575, -2.9156, 14.4208], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.4325, -2.9156, 14.6373], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.3075, -2.9156, 14.8538], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [0.1825, -2.9156, 15.0703], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [0.1825, -2.9156, 14.8203], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [0.1825, -2.9156, 14.8203], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [0.1825, -2.9156, 14.8203], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.0340, -2.9156, 14.6954], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-0.2505, -2.9156, 14.5704], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
