START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.5670, -2.9156, 14.3293], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [0.8170, -2.9156, 14.1463], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
