START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [0.5670, -2.9156, 14.3293], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [0.5670, -2.9156, 14.5793], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.6920, -2.9156, 14.3628], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.4857, -2.9156, 14.5082], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [0.4857, -2.9156, 14.5082], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [0.4857, -2.9156, 14.5082], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.3051, -2.9156, 14.5628], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.0886, -2.9156, 14.4378], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [0.0886, -2.9156, 14.4378], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.0364, -2.9156, 14.2213], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.1614, -2.9156, 14.0048], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2864, -2.9156, 13.7883], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4114, -2.9156, 13.5718], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.5365, -2.9156, 13.3553], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6615, -2.9156, 13.1388], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7865, -2.9156, 12.9223], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.9115, -2.9156, 12.7058], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.0365, -2.9156, 12.4893], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1615, -2.9156, 12.2728], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-1.1615, -2.9156, 12.2728], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-1.1615, -2.9156, 12.2728], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.4115, -2.9156, 12.2728], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.6615, -2.9156, 12.2728], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-1.6615, -2.9156, 12.2728], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.8780, -2.9156, 12.1478], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.0945, -2.9156, 12.0229], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-2.0945, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.3445, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.5945, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8445, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.0945, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.3445, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.3445, -2.9156, 12.0229], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.5610, -2.9156, 12.1479], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.7775, -2.9156, 12.2729], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-3.5610, -2.9156, 12.1479], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-3.3445, -2.9156, 12.0229], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-3.1280, -2.9156, 11.8979], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-3.1280, -2.9156, 11.8979], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-3.1280, -2.9156, 11.8979], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.9115, -2.9156, 12.0229], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.9115, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.6615, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.4115, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.1615, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.9115, -2.9156, 12.0229], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.6615, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.4115, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.1615, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.9115, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.6615, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.4115, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.1615, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.0885, -2.9156, 12.0228], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [0.0885, -2.9156, 12.0228], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [0.0885, -2.9156, 12.0228], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [0.0885, -2.9156, 12.0228], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [0.0885, -2.9156, 12.0228], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.0365, -2.9156, 11.8063], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.1615, -2.9156, 11.5898], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.2866, -2.9156, 11.3733], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4116, -2.9156, 11.1567], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.5366, -2.9156, 10.9402], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.6616, -2.9156, 10.7237], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7866, -2.9156, 10.5072], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.9116, -2.9156, 10.2907], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.0366, -2.9156, 10.0742], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.1616, -2.9156, 9.8577], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.2866, -2.9156, 9.6412], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.2866, -2.9156, 9.6412], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.5032, -2.9156, 9.5163], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7197, -2.9156, 9.3913], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9362, -2.9156, 9.2663], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.1527, -2.9156, 9.1413], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.9362, -2.9156, 9.2663], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.7197, -2.9156, 9.3913], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.5032, -2.9156, 9.5163], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.2866, -2.9156, 9.6412], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.0701, -2.9156, 9.7662], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.8536, -2.9156, 9.8912], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-0.8536, -2.9156, 9.8912], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-0.8536, -2.9156, 9.8912], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.8536, -2.9156, 10.1412], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.8536, -2.9156, 10.3912], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-0.8536, -2.9156, 10.3912], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-0.8536, -2.9156, 10.3912], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.6371, -2.9156, 10.5162], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
