START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [0.5670, -2.9156, 13.8293], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [0.5670, -2.9156, 13.5793], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [0.5670, -2.9156, 13.5793], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [0.5670, -2.9156, 13.5793], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [0.5670, -2.9156, 13.5793], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.8170, -2.9156, 13.5793], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [0.8170, -2.9156, 13.5793], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [0.8170, -2.9156, 13.5793], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.8170, -2.9156, 13.5793], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [0.8170, -2.9156, 13.8293], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [0.8170, -2.9156, 13.8293], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.6920, -2.9156, 14.0458], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.5670, -2.9156, 14.2623], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.4625, -2.9156, 14.5198], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.4625, -2.9156, 14.5198], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.4625, -2.9156, 14.5198], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [0.4625, -2.9156, 14.5198], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.2806, -2.9156, 14.5677], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.0641, -2.9156, 14.4427], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.1525, -2.9156, 14.3177], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.3690, -2.9156, 14.1927], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.5855, -2.9156, 14.0678], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.5855, -2.9156, 14.0678], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7105, -2.9156, 13.8513], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.8355, -2.9156, 13.6348], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.9605, -2.9156, 13.4183], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.0855, -2.9156, 13.2018], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.2105, -2.9156, 12.9853], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.3355, -2.9156, 12.7688], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.4606, -2.9156, 12.5523], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.4606, -2.9156, 12.5523], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.6771, -2.9156, 12.4273], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.8936, -2.9156, 12.3023], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-1.8936, -2.9156, 12.3023], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-1.8936, -2.9156, 12.3023], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-1.8936, -2.9156, 12.3023], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-1.8936, -2.9156, 12.3023], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.8936, -2.9156, 12.5523], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-1.8936, -2.9156, 12.5523], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.7686, -2.9156, 12.7688], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.6436, -2.9156, 12.9853], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-1.6436, -2.9156, 12.9853], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.6435, -2.9156, 13.2353], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.6435, -2.9156, 13.4853], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.6435, -2.9156, 13.7353], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.6435, -2.9156, 13.9853], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [-1.6435, -2.9156, 13.9853], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
