START | Pos: [8.5089, 0.1141, -4.8624] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.2589, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.0089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.7589, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.5089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.2589, 0.1141, -4.8623], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.0089, 0.1141, -4.8623], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.7772, 0.1141, -4.8165], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [6.7772, 0.1141, -4.8165], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.5607, 0.1141, -4.6915], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.5607, 0.1141, -4.6915], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.3107, 0.1141, -4.6915], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [6.3107, 0.1141, -4.6915], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.0942, 0.1141, -4.5664], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.8777, 0.1141, -4.4414], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [5.8777, 0.1141, -4.4414], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [5.7527, 0.1141, -4.2249], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [5.6278, 0.1141, -4.0084], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [5.6278, 0.1141, -4.0084], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.4113, 0.1141, -3.8834], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.1948, 0.1141, -3.7584], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.9783, 0.1141, -3.6334], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.7618, 0.1141, -3.5084], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.7618, 0.1141, -3.5084], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [4.7618, 0.1141, -3.5084], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
