START | Pos: [8.5089, 0.1141, -4.8624] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.2589, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.0089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.7589, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.5089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.2589, 0.1141, -4.8623], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.0089, 0.1141, -4.8623], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [7.0089, 0.1141, -4.8623], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.7924, 0.1141, -4.7373], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [6.7924, 0.1141, -4.7373], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [6.6674, 0.1141, -4.5208], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [6.6674, 0.1141, -4.5208], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.4509, 0.1141, -4.3958], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.2344, 0.1141, -4.2708], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.0179, 0.1141, -4.1458], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.8014, 0.1141, -4.0208], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.5849, 0.1141, -3.8957], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [5.5849, 0.1141, -3.8957], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [5.5849, 0.1141, -3.8957], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [5.5849, 0.1141, -3.8957], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [5.5849, 0.1141, -3.8957], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [5.8014, 0.1141, -3.7708], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.0179, 0.1141, -3.6458], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.2344, 0.1141, -3.5208], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.4510, 0.1141, -3.3958], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.6675, 0.1141, -3.2708], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.9023, 0.1141, -3.1580], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.1188, 0.1141, -3.0330], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.3353, 0.1141, -2.9081], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [7.3353, 0.1141, -2.9081], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [7.4604, 0.1141, -2.6916], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [7.5854, 0.1141, -2.4751], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [7.7104, 0.1141, -2.2586], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [7.7104, 0.1141, -2.2586], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.7104, 0.1141, -2.0086], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.7104, 0.1141, -1.7586], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.7104, 0.1141, -1.5086], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.7104, 0.1141, -1.2586], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
