START | Pos: [8.5089, 0.1141, -4.8624] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.3839, 0.1141, -5.0789], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.2589, 0.1141, -5.2954], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.1339, 0.1141, -5.5119], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.0089, 0.1141, -5.7284], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.8838, 0.1141, -5.9449], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.8838, 0.1141, -5.9449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -6.1949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -6.4449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -6.6949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -6.9449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -7.1949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -7.4449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8838, 0.1141, -7.6949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -7.9449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -8.1949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -8.4449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -8.6949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -8.9449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.8837, 0.1141, -9.1949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
stop, Pos: [7.8837, 0.1141, -9.1949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
