START | Pos: [8.5089, 0.1141, -4.8624] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [8.5089, 0.1141, -4.8624], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.3839, 0.1141, -5.0789], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.2589, 0.1141, -5.2954], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.1339, 0.1141, -5.5119], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [8.1339, 0.1141, -5.5119], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.1339, 0.1141, -5.7619], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.1338, 0.1141, -6.0119], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.1338, 0.1141, -6.2619], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [8.1338, 0.1141, -6.2619], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [8.0088, 0.1141, -6.4784], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [8.0088, 0.1141, -6.4784], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0088, 0.1141, -6.7284], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0088, 0.1141, -6.9784], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0088, 0.1141, -7.2284], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0088, 0.1141, -7.4784], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0088, 0.1141, -7.7284], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0087, 0.1141, -7.9784], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0087, 0.1141, -8.2284], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0087, 0.1141, -8.4784], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [8.0087, 0.1141, -8.7284], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [8.0087, 0.1141, -8.7284], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.8837, 0.1141, -8.9449], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.7587, 0.1141, -9.1614], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.6337, 0.1141, -9.3779], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.6337, 0.1141, -9.3779], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [7.4172, 0.1141, -9.5029], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [7.2007, 0.1141, -9.6279], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [6.9841, 0.1141, -9.7529], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.2007, 0.1141, -9.6279], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.4172, 0.1141, -9.5029], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.6337, 0.1141, -9.3779], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.8502, 0.1141, -9.2529], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.0667, 0.1141, -9.1279], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.2832, 0.1141, -9.0029], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.4997, 0.1141, -8.8779], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.7162, 0.1141, -8.7530], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.9328, 0.1141, -8.6280], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.1493, 0.1141, -8.5030], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.3658, 0.1141, -8.3780], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.5823, 0.1141, -8.2530], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.7988, 0.1141, -8.1280], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.0153, 0.1141, -8.0030], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.2318, 0.1141, -7.8780], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.4483, 0.1141, -7.7530], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.6649, 0.1141, -7.6281], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.8814, 0.1141, -7.5031], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.0979, 0.1141, -7.3781], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.3144, 0.1141, -7.2531], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.5309, 0.1141, -7.1281], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.7474, 0.1141, -7.0031], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.9639, 0.1141, -6.8781], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.1804, 0.1141, -6.7531], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.3970, 0.1141, -6.6281], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.6135, 0.1141, -6.5031], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.8300, 0.1141, -6.3782], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.0465, 0.1141, -6.2532], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.2110, 0.1141, -6.1386], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.2231, 0.1141, -5.9727], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
