START | Pos: [0.198, -0.2089, -7.777] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [0.1980, -0.2090, -7.7770], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.1980, -0.2090, -7.7770], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [0.1980, -0.2090, -7.7770], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [0.1980, -0.2090, -7.7770], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.0185, -0.2090, -7.6520], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.2350, -0.2090, -7.5270], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.4515, -0.2090, -7.4020], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.6680, -0.2090, -7.2770], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.8845, -0.2090, -7.1519], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.1010, -0.2090, -7.0269], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.3175, -0.2090, -6.9019], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-1.3175, -0.2090, -6.9019], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.4425, -0.2090, -6.6854], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.5675, -0.2090, -6.4689], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.6925, -0.2090, -6.2524], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.8175, -0.2090, -6.0359], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.9424, -0.2090, -5.8194], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-1.9424, -0.2090, -5.8194], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-1.9424, -0.2090, -5.5694], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-1.9424, -0.2090, -5.5694], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-2.0674, -0.2090, -5.3529], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-2.1924, -0.2090, -5.1363], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.1924, -0.2090, -5.1363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1924, -0.2090, -4.8863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1924, -0.2090, -4.6363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1924, -0.2090, -4.3863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1924, -0.2090, -4.1363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1924, -0.2090, -3.8863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -3.6363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -3.3863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -3.1363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -2.8863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -2.6363], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.1923, -0.2090, -2.3863], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.1923, -0.2090, -2.3863], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.0673, -0.2090, -2.1698], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-2.0673, -0.2090, -2.1698], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.0673, -0.2090, -1.9198], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.0673, -0.2090, -1.9198], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.9422, -0.2090, -1.7033], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.8172, -0.2090, -1.4868], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.6922, -0.2090, -1.2703], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.5672, -0.2090, -1.0538], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.4422, -0.2090, -0.8373], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.3172, -0.1936, -0.6208], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.1922, -0.1340, -0.4043], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.0672, -0.0744, -0.1878], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.9422, -0.1435, 0.0287], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [-0.9422, -0.1435, 0.0287], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
