START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [13.5590, 0.1271, 1.6699], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [13.6840, 0.1271, 1.4534], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [13.8090, 0.1271, 1.2369], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [13.9340, 0.1271, 1.0204], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [13.9340, 0.1271, 1.0204], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.1505, 0.1271, 0.8954], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.3670, 0.1271, 0.7703], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [14.3670, 0.1271, 0.7703], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [14.4920, 0.1271, 0.5538], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [14.6170, 0.1271, 0.3373], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [14.7565, 0.1271, 0.1342], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [14.8815, 0.1271, -0.0823], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.0065, 0.1271, -0.2988], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.1315, 0.1271, -0.5153], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.2565, 0.1271, -0.7318], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [15.2565, 0.1271, -0.7318], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [15.2564, 0.1271, -0.9818], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [15.2564, 0.1271, -1.2318], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.2564, 0.1271, -1.2318], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.3814, 0.1271, -1.4483], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.5064, 0.1271, -1.6649], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.6314, 0.1271, -1.8814], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.7564, 0.1271, -2.0979], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [15.8814, 0.1271, -2.3144], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.8814, 0.1271, -2.3144], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.0979, 0.1271, -2.4394], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.3144, 0.1271, -2.5644], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.5309, 0.1271, -2.6894], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [16.5309, 0.1271, -2.6894], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.5309, 0.1271, -2.6894], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [16.7474, 0.1271, -2.5644], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [16.9639, 0.1271, -2.4394], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [17.1804, 0.1271, -2.3145], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [17.3969, 0.1271, -2.1895], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [17.6134, 0.1271, -2.0645], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [17.8299, 0.1271, -1.9395], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.0465, 0.1271, -1.8145], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.2630, 0.1271, -1.6895], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [18.2630, 0.1271, -1.6895], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
