START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [13.3425, 0.1271, 1.7949], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [13.1260, 0.1271, 1.9199], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.9095, 0.1271, 2.0449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.6930, 0.1271, 2.1699], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.4765, 0.1271, 2.2950], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.2600, 0.1271, 2.4200], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.1861, 0.1271, 2.5653], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [12.1642, 0.1271, 2.7182], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [12.1642, 0.1271, 2.7182], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [12.0392, 0.1271, 2.9347], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.9143, 0.1271, 3.1512], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.7893, 0.1271, 3.3677], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.6643, 0.1271, 3.5842], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.5393, 0.1271, 3.8007], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.4143, 0.1271, 4.0172], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.2893, 0.1271, 4.2337], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.1643, 0.1271, 4.4503], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [11.0393, 0.1271, 4.6668], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.9143, 0.1271, 4.8833], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.7893, 0.1271, 5.0998], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.6644, 0.1271, 5.3163], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.5394, 0.1271, 5.5328], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.4144, 0.1271, 5.7493], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.3467, 0.1271, 5.9659], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [10.3467, 0.1271, 5.9659], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.3468, 0.1271, 6.2159], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [10.3468, 0.1271, 6.2159], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.2890, 0.1271, 6.4772], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.1640, 0.1271, 6.6937], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.0390, 0.1271, 6.9102], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [9.9141, 0.1271, 7.1267], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [9.9141, 0.1271, 7.1267], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [9.9141, 0.1271, 7.1267], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.6641, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.4141, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.1641, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.9141, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.6641, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.4141, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.1641, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.9141, 0.1271, 7.1268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.6641, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.4141, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.1641, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9141, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6641, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4141, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1641, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9141, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6641, 0.1271, 7.1269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4141, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1641, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.9141, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.6641, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4141, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.1641, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.9141, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.6641, 0.1271, 7.1270], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.4141, 0.1271, 7.1271], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
