START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [13.3090, 0.1271, 1.6699], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [13.0590, 0.1271, 1.6699], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [12.8090, 0.1271, 1.6699], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [12.5590, 0.1271, 1.6699], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [12.3090, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [12.0590, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.8090, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.5590, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.3090, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.0590, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.8090, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.5590, 0.1271, 1.6700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.3090, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.0590, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.8090, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.5590, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.3090, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.0590, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.8090, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.5590, 0.1271, 1.6701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.3090, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.0590, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.8090, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.5590, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.3090, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.0590, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.8090, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.5590, 0.1271, 1.6702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.3090, 0.1271, 1.6703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.0590, 0.1271, 1.6703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [6.0590, 0.1271, 1.6703], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [5.8425, 0.1271, 1.5453], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [5.6260, 0.1271, 1.4203], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [5.4095, 0.1271, 1.2953], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [5.1930, 0.1271, 1.1703], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.9765, 0.1271, 1.0453], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.9765, 0.1271, 1.0453], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.8514, 0.1271, 0.8288], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.7264, 0.1271, 0.6123], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.6014, 0.1271, 0.3958], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.6014, 0.1271, 0.3958], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6014, 0.1271, 0.1458], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6014, 0.1271, -0.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6014, 0.1271, -0.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6014, 0.1271, -0.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6014, 0.1271, -0.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -1.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -1.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -1.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -1.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -2.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -2.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -2.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -2.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6013, 0.1271, -3.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -3.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -3.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -3.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -4.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -4.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -4.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -4.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6012, 0.1271, -5.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -5.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -5.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -5.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -6.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -6.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -6.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -6.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6011, 0.1271, -7.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -7.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -7.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -7.8542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -8.1042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -8.3542], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.6010, 0.1271, -8.6042], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.6010, 0.1271, -8.6042], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [4.7260, 0.1271, -8.8207], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [4.7260, 0.1271, -8.8207], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.7260, 0.1271, -8.8207], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [4.7260, 0.1271, -8.8207], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [4.9425, 0.1271, -8.9457], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.1590, 0.1271, -9.0707], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.3755, 0.1271, -9.1957], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.5920, 0.1271, -9.3207], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.8085, 0.1271, -9.4457], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.0250, 0.1271, -9.5708], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [6.0250, 0.1271, -9.5708], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
