START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [13.7755, 0.1271, 1.5449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [13.9920, 0.1271, 1.4199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.2085, 0.1271, 1.2949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.4250, 0.1271, 1.1699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.6415, 0.1271, 1.0448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.8580, 0.1271, 0.9198], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.0745, 0.1271, 0.7948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.2910, 0.1271, 0.6698], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.5075, 0.1271, 0.5448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.7240, 0.1271, 0.4198], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.9405, 0.1271, 0.2948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.1570, 0.1271, 0.1698], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.3735, 0.1271, 0.0448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.5900, 0.1271, -0.0803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.8065, 0.1271, -0.2053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.0230, 0.1271, -0.3303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.2395, 0.1271, -0.4553], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.4560, 0.1271, -0.5803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.6725, 0.1271, -0.7053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.8890, 0.1271, -0.8303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.1055, 0.1271, -0.9553], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.3220, 0.1271, -1.0803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.5385, 0.1271, -1.2053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.7550, 0.1271, -1.3304], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [18.7550, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.0050, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.2550, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.5050, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.7550, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.0050, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.2550, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.5050, 0.1271, -1.3304], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.7550, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.0050, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.2550, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.5050, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.7550, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.0050, 0.1271, -1.3305], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [22.0050, 0.1271, -1.3305], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [22.2215, 0.1271, -1.2055], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [22.2215, 0.1271, -1.2055], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.4715, 0.1271, -1.2055], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.7215, 0.1271, -1.2056], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [22.7215, 0.1271, -1.2056], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [22.9380, 0.1271, -1.0806], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.1546, 0.1271, -0.9556], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.3711, 0.1271, -0.8306], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.5876, 0.1271, -0.7056], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.8041, 0.1271, -0.5806], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [24.0206, 0.1271, -0.4556], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [24.0206, 0.1271, -0.4556], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.2706, 0.1271, -0.4556], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.5206, 0.1271, -0.4556], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.7706, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.0206, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.2706, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.5206, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.7706, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.0206, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.2706, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.5206, 0.1271, -0.4557], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.7706, 0.1271, -0.4558], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [27.0206, 0.1271, -0.4558], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [27.0206, 0.1271, -0.4558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.2371, 0.1271, -0.5808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.4536, 0.1271, -0.7058], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.6701, 0.1271, -0.8308], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.8866, 0.1271, -0.9558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.1031, 0.1271, -1.0808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.3196, 0.1271, -1.2058], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.5361, 0.1271, -1.3308], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.7526, 0.1271, -1.4559], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.9691, 0.1271, -1.5809], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [29.1856, 0.1271, -1.7059], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [29.4021, 0.1271, -1.8309], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [29.5825, 0.1271, -1.8475], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [29.5825, 0.1271, -1.8475], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
