START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.2840, 0.1633, 0.6783], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.4090, 0.1633, 0.4618], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [7.5340, 0.1633, 0.2453], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [7.4090, 0.1633, 0.4618], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [7.2840, 0.1633, 0.6783], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [7.2840, 0.1633, 0.6783], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [7.0704, 0.1633, 0.8121], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.8539, 0.1633, 0.9371], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.6374, 0.1633, 1.0621], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.4209, 0.1633, 1.1871], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.2044, 0.1633, 1.3122], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.2044, 0.1633, 1.3122], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
