START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.9425, 0.1633, 1.0198], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.7260, 0.1633, 1.1448], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.7260, 0.1633, 1.1448], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.4760, 0.1633, 1.1448], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.2260, 0.1633, 1.1448], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.9760, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.7260, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.4760, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.2260, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.9760, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.7260, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.4760, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.2260, 0.1633, 1.1449], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.2260, 0.1633, 1.1449], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.0095, 0.1633, 1.0200], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.7930, 0.1633, 0.8950], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.5765, 0.1633, 0.7700], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.3599, 0.1633, 0.6450], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.1434, 0.1633, 0.5200], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.9269, 0.1633, 0.3950], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.7104, 0.1633, 0.2700], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [2.7104, 0.1633, 0.2700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.4604, 0.1633, 0.2700], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [2.4604, 0.1633, 0.2700], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.2439, 0.1633, 0.1450], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [2.2439, 0.1633, 0.1450], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.9939, 0.1633, 0.1451], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.7439, 0.1633, 0.1451], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
stop, Pos: [1.4939, 0.1633, 0.1451], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
