START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.9090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.6590, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4090, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.4090, 0.1633, 0.9209], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.1925, 0.1633, 0.7960], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.9760, 0.1633, 0.6710], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.7595, 0.1633, 0.5460], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.5429, 0.1633, 0.4210], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.3264, 0.1633, 0.2960], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.1099, 0.1633, 0.1710], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [2.8934, 0.1633, 0.0460], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.1099, 0.1633, -0.0790], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.3264, 0.1633, -0.2040], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.5429, 0.1633, -0.3290], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.7594, 0.1633, -0.4540], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [3.7594, 0.1633, -0.4540], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
