START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.3755, 0.1633, 1.0199], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.5920, 0.1633, 1.1449], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.8085, 0.1633, 1.2699], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [6.0251, 0.1633, 1.3949], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [6.0251, 0.1633, 1.3949], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [6.1501, 0.1633, 1.6114], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [6.1501, 0.1633, 1.6114], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
