START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4090, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [5.1590, 0.1633, 0.8949], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.9425, 0.1633, 1.0199], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.7260, 0.1633, 1.1449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [4.7260, 0.1633, 1.1449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4760, 0.1633, 1.1449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [4.4760, 0.1633, 1.1449], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [4.4760, 0.1633, 1.1449], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [4.3510, 0.1633, 1.2709], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [4.2200, 0.1633, 1.4868], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [4.2200, 0.1633, 1.4868], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.0035, 0.1633, 1.6118], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.7870, 0.1633, 1.7368], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.5705, 0.1633, 1.8618], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [3.5705, 0.1633, 1.8618], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.4455, 0.1633, 2.0783], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [3.4455, 0.1633, 2.0783], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.2290, 0.1633, 2.2033], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.0125, 0.1633, 2.3283], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.7960, 0.1633, 2.4534], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.5795, 0.1633, 2.5784], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.3630, 0.1633, 2.7034], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [2.3630, 0.1633, 2.7034], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.2380, 0.1633, 2.9199], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.1130, 0.1633, 3.1364], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.9880, 0.1633, 3.3529], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.1130, 0.1633, 3.1364], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.2380, 0.1633, 2.9199], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [2.2380, 0.1633, 2.9199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.4545, 0.1633, 2.7949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.6710, 0.1633, 2.6699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.8875, 0.1633, 2.5449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.1040, 0.1633, 2.4198], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.3205, 0.1633, 2.2948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [3.3205, 0.1633, 2.2948], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [3.4455, 0.1633, 2.0783], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [3.4455, 0.1633, 2.0783], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4455, 0.1633, 1.8283], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4455, 0.1633, 1.5783], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4455, 0.1633, 1.3283], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4455, 0.1633, 1.0783], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4454, 0.1633, 0.8283], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [3.4454, 0.1633, 0.8283], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [3.3204, 0.1633, 0.6118], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.4454, 0.1633, 0.8283], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
