START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.0340, 0.1633, 1.1113], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [7.0340, 0.1633, 1.1113], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [6.8175, 0.1633, 1.2363], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [6.6010, 0.1633, 1.3613], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [6.6010, 0.1633, 1.3613], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.4760, 0.1633, 1.5778], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.3510, 0.1633, 1.7944], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.2260, 0.1633, 2.0109], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.1011, 0.1633, 2.2274], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.0262, 0.1633, 2.4489], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.0035, 0.1633, 2.6757], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.0194, 0.2141, 2.8217], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.0810, 0.3373, 2.9449], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [6.0810, 0.3373, 2.9449], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [6.0810, 0.3373, 2.9449], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [6.0810, 0.3373, 2.9449], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [6.0810, 0.3373, 2.9449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.3310, 0.1633, 2.9449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.5810, 0.1633, 2.9449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.8310, 0.1633, 2.9449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.0810, 0.1633, 2.9449], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [7.0810, 0.1633, 2.9449], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [7.0810, 0.1633, 2.9449], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
